column,type
dur,float64
spkts,float64
dpkts,float64
sbytes,float64
dbytes,float64
rate,float64
sload,float64
dload,float64
sloss,float64
dloss,float64
sinpkt,float64
dinpkt,float64
sjit,float64
djit,float64
swin,float64
stcpb,float64
dtcpb,float64
dwin,float64
tcprtt,float64
synack,float64
ackdat,float64
smean,float64
dmean,float64
trans_depth,float64
response_body_len,float64
ct_src_dport_ltm,float64
ct_dst_sport_ltm,float64
is_ftp_login,float64
ct_ftp_cmd,float64
ct_flw_http_mthd,float64
is_sm_ips_ports,int8
attack_cat,object
label,int8
proto_arp,int64
proto_ospf,int64
proto_other,int64
proto_tcp,int64
proto_udp,int64
proto_unas,int64
service_-,int64
service_dhcp,int64
service_dns,int64
service_ftp,int64
service_ftp-data,int64
service_http,int64
service_irc,int64
service_pop3,int64
service_radius,int64
service_smtp,int64
service_snmp,int64
service_ssh,int64
service_ssl,int64
state_CON,int64
state_ECO,int64
state_FIN,int64
state_INT,int64
state_PAR,int64
state_REQ,int64
state_RST,int64
state_URN,int64
state_no,int64
