column,outlier_count,outlier_percentage
dur,7493,7.74
spkts,14846,15.33
dpkts,13648,14.1
sbytes,12066,12.46
dbytes,20076,20.73
rate,11652,12.03
sload,15548,16.06
dload,13441,13.88
sloss,7835,8.09
dloss,12472,12.88
sinpkt,5010,5.17
dinpkt,3506,3.62
sjit,4154,4.29
djit,13647,14.09
swin,21028,21.72
stcpb,0,0.0
dtcpb,0,0.0
dwin,21259,21.96
tcprtt,769,0.79
synack,1130,1.17
ackdat,1304,1.35
smean,14400,14.87
dmean,19247,19.88
trans_depth,17203,17.77
response_body_len,10787,11.14
ct_src_dport_ltm,21633,22.34
ct_dst_sport_ltm,6690,6.91
is_ftp_login,1844,1.9
ct_ftp_cmd,1844,1.9
ct_flw_http_mthd,17203,17.77
is_sm_ips_ports,504,0.52
total_bytes,17156,17.72
byte_ratio,19149,19.78
total_packets,14401,14.87
packet_ratio,4779,4.94
source_bytes_per_packet,15110,15.61
destination_bytes_per_packet,19531,20.17
