column,type
dur,float32
proto,category
service,category
state,category
spkts,int16
dpkts,int16
sbytes,int32
dbytes,int32
rate,float32
sload,float32
dload,float32
sloss,int16
dloss,int16
sinpkt,float32
dinpkt,float32
sjit,float32
djit,float32
swin,int16
stcpb,int64
dtcpb,int64
dwin,int16
tcprtt,float32
synack,float32
ackdat,float32
smean,int16
dmean,int16
trans_depth,int16
response_body_len,int32
ct_src_dport_ltm,int8
ct_dst_sport_ltm,int8
is_ftp_login,int8
ct_ftp_cmd,int8
ct_flw_http_mthd,int8
is_sm_ips_ports,int8
attack_cat,category
label,int8
